epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1156.28,1.29465,0.62708,0.98333,1.05374,0.000330383,0.000330383,0.000330383
2,2303.61,0.76954,0.65833,0.99583,1.09483,0.000641814,0.000641814,0.000641814
3,3534.76,0.68679,0.63542,0.97708,1.0712,0.000931245,0.000931245,0.000931245
4,4768.51,0.61348,0.6125,0.98125,1.3869,0.000901,0.000901,0.000901
5,5962.24,0.58445,0.725,0.99583,0.95435,0.000868,0.000868,0.000868
6,7174.04,0.52244,0.71667,0.99792,0.92163,0.000835,0.000835,0.000835
7,8369.3,0.42649,0.67083,0.97083,1.31239,0.000802,0.000802,0.000802
8,9628.43,0.40412,0.75625,0.9875,0.95751,0.000769,0.000769,0.000769
9,10853.9,0.40558,0.75208,1,0.92165,0.000736,0.000736,0.000736
10,12120.3,0.3597,0.82292,1,0.76356,0.000703,0.000703,0.000703
11,13322.1,0.29922,0.74375,1,1.04414,0.00067,0.00067,0.00067
12,14531.9,0.25898,0.78333,0.97708,1.0412,0.000637,0.000637,0.000637
13,15805,0.24636,0.74167,0.98125,1.06168,0.000604,0.000604,0.000604
14,17108.3,0.2287,0.77292,0.99375,0.9431,0.000571,0.000571,0.000571
15,18306.4,0.22952,0.75625,0.99167,0.82674,0.000538,0.000538,0.000538
16,19528.6,0.18557,0.77292,0.99375,0.85041,0.000505,0.000505,0.000505
17,20730.3,0.19202,0.75833,0.99583,0.96355,0.000472,0.000472,0.000472
18,21920.8,0.1675,0.78542,0.99375,0.89959,0.000439,0.000439,0.000439
19,23121.6,0.1709,0.7875,0.99792,0.92828,0.000406,0.000406,0.000406
20,24326.4,0.12988,0.80417,0.99167,0.95729,0.000373,0.000373,0.000373
